owner,rank,name,value,description,additionalInfo
"{'playerId': 6566.0, 'info': {'position': 'F', 'shirtNum': 32.0, 'positionInfo': 'Centre Striker', 'loan': True}, 'nationalTeam': {'isoCode': 'GB-ENG', 'country': 'England', 'demonym': 'English'}, 'currentTeam': {'name': 'Tottenham Hotspur', 'club': {'name': 'Tottenham Hotspur', 'abbr': 'TOT', 'id': 21.0}, 'teamType': 'FIRST', 'shortName': 'Spurs', 'id': 21.0, 'altIds': {'opta': 't6'}}, 'active': True, 'birth': {'date': {'millis': 743817600000.0, 'label': '28 July 1993'}, 'country': {'isoCode': 'GB-ENG', 'country': 'England', 'demonym': 'English'}, 'place': 'London'}, 'age': '29 years 205 days', 'name': {'display': 'Harry Kane', 'first': 'Harry', 'last': 'Kane'}, 'id': 3960.0, 'altIds': {'opta': 'p78830'}}",1.0,goals,111.0,Todo: goals,{}
"{'playerId': 47184.0, 'info': {'position': 'F', 'shirtNum': 11.0, 'positionInfo': 'Left/Centre/Right Winger', 'loan': False}, 'nationalTeam': {'isoCode': 'EG', 'country': 'Egypt', 'demonym': 'Egyptian'}, 'currentTeam': {'name': 'Liverpool', 'club': {'name': 'Liverpool', 'abbr': 'LIV', 'id': 10.0}, 'teamType': 'FIRST', 'shortName': 'Liverpool', 'id': 10.0, 'altIds': {'opta': 't14'}}, 'active': True, 'birth': {'date': {'millis': 708566400000.0, 'label': '15 June 1992'}, 'country': {'isoCode': 'EG', 'country': 'Egypt', 'demonym': 'Egyptian'}, 'place': 'Basyoun'}, 'age': '30 years 248 days', 'name': {'display': 'Mohamed Salah', 'first': 'Mohamed', 'last': 'Salah Hamed Mahrous Ghaly'}, 'id': 5178.0, 'altIds': {'opta': 'p118748'}}",2.0,goals,96.0,Todo: goals,{}
"{'playerId': 11259.0, 'info': {'position': 'F', 'shirtNum': 9.0, 'positionInfo': 'Centre Striker', 'loan': False}, 'nationalTeam': {'isoCode': 'GB-ENG', 'country': 'England', 'demonym': 'English'}, 'currentTeam': {'name': 'Leicester City', 'club': {'name': 'Leicester City', 'abbr': 'LEI', 'id': 26.0}, 'teamType': 'FIRST', 'shortName': 'Leicester', 'id': 26.0, 'altIds': {'opta': 't13'}}, 'active': True, 'birth': {'date': {'millis': 537321600000.0, 'label': '11 January 1987'}, 'country': {'isoCode': 'GB-ENG', 'country': 'England', 'demonym': 'English'}, 'place': 'Sheffield'}, 'age': '36 years 38 days', 'name': {'display': 'Jamie Vardy', 'first': 'Jamie', 'last': 'Vardy'}, 'id': 8979.0, 'altIds': {'opta': 'p101668'}}",3.0,goals,89.0,Todo: goals,{}
"{'playerId': 314750.0, 'info': {'position': 'F', 'shirtNum': 17.0, 'positionInfo': 'Left/Right Winger', 'loan': False}, 'nationalTeam': {'isoCode': 'SN', 'country': 'Senegal', 'demonym': 'Senegalese'}, 'active': False, 'birth': {'date': {'millis': 702864000000.0, 'label': '10 April 1992'}, 'country': {'isoCode': 'SN', 'country': 'Senegal', 'demonym': 'Senegalese'}, 'place': 'Sedihou'}, 'age': '30 years 314 days', 'name': {'display': 'Sadio Mané', 'first': 'Sadio', 'last': 'Mané'}, 'id': 6519.0, 'altIds': {'opta': 'p110979'}}",4.0,goals,79.0,Todo: goals,{}
"{'playerId': 277441.0, 'info': {'position': 'F', 'shirtNum': 19.0, 'positionInfo': 'Centre Striker', 'loan': False}, 'nationalTeam': {'isoCode': 'AR', 'country': 'Argentina'}, 'active': False, 'birth': {'date': {'millis': 581212800000.0, 'label': '2 June 1988'}, 'country': {'isoCode': 'AR', 'country': 'Argentina'}, 'place': 'Buenos Aires'}, 'age': '34 years 261 days', 'name': {'display': 'Sergio Agüero', 'first': 'Sergio', 'last': 'Agüero'}, 'id': 4328.0, 'altIds': {'opta': 'p37572'}}",5.0,goals,78.0,Todo: goals,{}
"{'playerId': 317508.0, 'info': {'position': 'F', 'shirtNum': 17.0, 'positionInfo': 'Left/Centre/Right Second Striker', 'loan': False}, 'nationalTeam': {'isoCode': 'GB-ENG', 'country': 'England', 'demonym': 'English'}, 'active': True, 'birth': {'date': {'millis': 786844800000.0, 'label': '8 December 1994'}, 'country': {'isoCode': 'JM', 'country': 'Jamaica', 'demonym': 'Jamaican'}, 'place': 'Kingston'}, 'age': '28 years 72 days', 'name': {'display': 'Raheem Sterling', 'first': 'Raheem', 'middle': 'Shaquille', 'last': 'Sterling'}, 'id': 4316.0, 'altIds': {'opta': 'p103955'}}",6.0,goals,75.0,Todo: goals,{}
"{'playerId': 20239.0, 'info': {'position': 'F', 'shirtNum': 7.0, 'positionInfo': 'Left/Centre/Right Winger', 'loan': False}, 'nationalTeam': {'isoCode': 'KR', 'country': 'South Korea', 'demonym': 'Korean'}, 'currentTeam': {'name': 'Tottenham Hotspur', 'club': {'name': 'Tottenham Hotspur', 'abbr': 'TOT', 'id': 21.0}, 'teamType': 'FIRST', 'shortName': 'Spurs', 'id': 21.0, 'altIds': {'opta': 't6'}}, 'active': True, 'birth': {'date': {'millis': 710553600000.0, 'label': '8 July 1992'}, 'country': {'isoCode': 'KR', 'country': 'South Korea', 'demonym': 'Korean'}, 'place': 'Chuncheon'}, 'age': '30 years 225 days', 'name': {'display': 'Son Heung-Min', 'first': 'Heung-Min', 'last': 'Son'}, 'id': 4999.0, 'altIds': {'opta': 'p85971'}}",7.0,goals,72.0,Todo: goals,{}
"{'playerId': 314976.0, 'info': {'position': 'F', 'shirtNum': 90.0, 'positionInfo': 'Centre Striker', 'loan': True}, 'nationalTeam': {'isoCode': 'BE', 'country': 'Belgium', 'demonym': 'Belgian'}, 'active': False, 'birth': {'date': {'millis': 737251200000.0, 'label': '13 May 1993'}, 'country': {'isoCode': 'BE', 'country': 'Belgium', 'demonym': 'Belgian'}, 'place': 'Antwerp'}, 'age': '29 years 281 days', 'name': {'display': 'Romelu Lukaku', 'first': 'Romelu', 'middle': 'Menama', 'last': 'Lukaku'}, 'id': 4290.0, 'altIds': {'opta': 'p66749'}}",8.0,goals,61.0,Todo: goals,{}
"{'playerId': 325612.0, 'info': {'position': 'F', 'shirtNum': 9.0, 'positionInfo': 'Centre Striker', 'loan': False}, 'nationalTeam': {'isoCode': 'GA', 'country': 'Gabon', 'demonym': 'Gabonese'}, 'active': True, 'birth': {'date': {'millis': 614131200000.0, 'label': '18 June 1989'}, 'country': {'isoCode': 'FR', 'country': 'France', 'demonym': 'French'}, 'place': 'Laval'}, 'age': '33 years 245 days', 'name': {'display': 'Pierre-Emerick Aubameyang', 'first': 'Pierre-Emerick', 'last': 'Aubameyang'}, 'id': 5110.0, 'altIds': {'opta': 'p54694'}}",9.0,goals,58.0,Todo: goals,{}
"{'playerId': 19511.0, 'info': {'position': 'F', 'shirtNum': 9.0, 'positionInfo': 'Left/Centre/Right Striker', 'loan': False}, 'nationalTeam': {'isoCode': 'BR', 'country': 'Brazil', 'demonym': 'Brazilian'}, 'currentTeam': {'name': 'Liverpool', 'club': {'name': 'Liverpool', 'abbr': 'LIV', 'id': 10.0}, 'teamType': 'FIRST', 'shortName': 'Liverpool', 'id': 10.0, 'altIds': {'opta': 't14'}}, 'active': True, 'birth': {'date': {'millis': 686361600000.0, 'label': '2 October 1991'}, 'country': {'isoCode': 'BR', 'country': 'Brazil', 'demonym': 'Brazilian'}, 'place': 'Maceio'}, 'age': '31 years 139 days', 'name': {'display': 'Roberto Firmino', 'first': 'Roberto Firmino', 'last': 'Barbosa de Oliveira'}, 'id': 13511.0, 'altIds': {'opta': 'p92217'}}",10.0,goals,52.0,Todo: goals,{}
